綦	110	3824
贠	15	515
笪	14	274
於	45	1234
訾	82	3220
宦	41	2038
隗	65	2332
申屠	30	962
扈	171	7421
税	14	774
续	90	7144
鲜	22	1489
郗	158	6818
贲	71	4707
绳	8	714
邸	245	15542
眭	52	3310
昝	114	7459
茆	60	2475
睢	10	973
忻	65	4797
仝	321	29512
蹇	24	2831
亓	327	24996
毋	65	3824
邴	89	6677
汲	11	1240
阙	155	7007
仵	14	1521
种	40	4439
旷	80	6365
束	167	14514
衣	223	21785
蔚	97	13916
历	17	6556
卿	159	20115
候	125	17990
过	60	7532
芦	84	11323
母	75	7440
巢	87	7879
漆	188	25027
矫	23	5699
励	65	7835
逯	204	16915
恽	37	4184
员	21	4174
宓	33	3962
皇甫	119	20903
庾	73	5299
练	53	9282
戎	186	20520
储	448	60383
扬	57	17330
耶律	119	18454
别	44	12531
靳	1373	216001
覃	1184	181936
栗	443	75153
拓跋	75	14567
茹	196	47849
尉	173	17754
鄢	310	31516
鄂	149	20553
蒯	48	14716
闵	647	159912
南宫	32	27690
区	119	26650
操	28	8096
胥	396	51601
奚	529	73916
褚	900	100614
谌	298	24200
么	17	9398
端木	33	13514
苑	602	86163
阴	54	15059
支	84	17968
介	14	9849
须	25	16668
完颜	128	19959
宛	79	22005
卞	829	116158
邢	2936	724010
轩辕	14	15249
原	183	92650
敬	190	108943
门	98	40509
司徒	108	47022
刁	636	138137
战	89	38699
耿	2152	569054
呼延	27	30393
郦	116	26479
牟	1008	198412
况	154	34913
尧	104	39235
竺	139	28030
长孙	22	19623
农	42	25917
台	21	20836
辜	136	26477
慈	28	48898
邬	679	89939
司	948	243638
冼	92	35963
檀	120	35233
岑	378	84418
姬	693	183603
池	543	161907
钮	139	28513
邝	228	34426
寇	644	148136
寿	72	30327
慕	260	139319
官	332	119943
禹	272	90265
喻	992	250861
由	58	58712
尉迟	17	34992
卜	865	121659
弓	124	47672
上官	232	108180
菅	52	36102
宇文	107	52353
杭	284	162291
劳	101	105049
代	218	236568
栾	891	170460
扶	22	30554
幸	37	29178
庹	23	37387
蒿	25	31344
信	48	80041
裘	375	133192
厉	390	129003
糜	23	45979
阚	327	72586
缪	1015	164850
贺兰	11	41321
亢	163	51241
冉	824	282271
骆	1094	285488
郜	294	62025
冀	502	124538
宿	244	93641
祁	1253	312753
嵇	208	45125
居	87	90176
敖	357	150090
粟	169	57868
丘	722	140523
晁	273	95519
蔺	378	68774
鱼	46	88899
宗	945	572825
谈	149	69084
戈	307	258250
管	1400	633041
晏	557	177814
鞠	661	133789
濮	123	49093
傅	2708	671170
隆	114	258131
占	334	301657
瞿	622	164714
呼	28	65862
诸	300	93429
仲	807	431495
诸葛	157	143740
谷	1554	560578
茅	287	162236
雍	169	87109
相	67	85014
廖	4005	1304927
娄	825	271320
步	52	129192
郅	12	112
缑	10	185
伞	8	85
潭	13	90
衷	13	125
琚	16	275
俎	12	171
唱	6	170
堵	11	263
粱	19	258
籍	62	2384
逄	27	1099
郇	18	442
满	79	257776
庄	2209	809893
沈	8092	3985024
迟	735	292507
展	161	341587
饶	851	359404
鲍	1525	481280
闻	423	370179
师	703	307125
简	477	350324
窦	1113	405934
元	257	653135
邰	179	125952
班	263	299028
施	3175	1016917
侯	5680	2023396
季	1819	699198
暴	27	163616
麻	442	229015
铁	157	1157622
倪	2536	1018527
樊	2654	879809
桑	685	778308
郝	4228	1592699
尤	1067	737523
邱	4729	1567743
盛	1627	1374024
